,cpi_index,Int_Rate,Treasury_Const_Maturities_1Yr,Treasury_Const_Maturities_5Yr,Treasury_Const_Maturities_10Yr,CSI_300,M2,M1,M0
2002-01,1.0,2.32,2.13,2.77,3.36,1221.76,159639.27,60576.06,16725.89
2002-02,1.011,2.32,2.18,2.68,3.19,1244.603,160935.59,58702.87,16641.55
2002-03,0.9978569999999999,2.11,1.96,2.49,3.01,1313.466,164064.57,59474.83,15544.63
2002-04,0.9948634289999999,2.08,1.98,2.32,2.68,1353.607,164570.56,60461.31,15864.18
2002-05,0.9918788387129999,2.06,1.88,2.17,2.49,1238.577,166023.0,61246.86,15243.07
2002-06,0.9829519291645828,2.02,1.8,2.16,2.52,1431.175,169601.24,63144.0,15097.35
2002-07,0.9829519291645828,2.02,1.78,2.26,2.72,1358.16,170851.14,63487.78,15357.66
2002-08,0.9859007849520764,2.04,1.79,2.48,3.12,1361.298,173250.92,64868.83,15712.61
2002-09,0.9957597928015972,2.09,1.85,2.54,3.17,1285.652,176985.21,66799.76,16233.58
2002-10,0.9977513123872004,2.04,2.04,2.58,3.08,1225.338,177294.15,67100.25,16014.66
2002-11,0.9967535610748132,2.05,1.91,2.64,3.3,1164.618,179736.26,67992.78,16346.39
2002-12,0.9997438217580374,2.17,1.94,2.64,3.26,1103.641,185006.97,70881.79,17278.03
2003-01,1.0107410037973759,2.06,1.77,2.48,3.14,1207.597,190545.05,72405.66,21244.73
2003-02,1.0198376728315521,2.05,1.5,2.39,3.19,1213.862,190108.41,69756.64,17937.17
2003-03,1.013718646794563,1.99,1.73,2.43,3.08,1215.168,194487.3,71438.82,17106.5
2003-04,1.0116912095009738,1.96,1.92,2.49,3.02,1239.952,196130.13,71321.24,17441.14
2003-05,1.004609371034467,1.99,2.04,2.44,2.84,1300.865,199505.19,72777.84,17115.03
2003-06,0.9925540585820534,2.08,2.18,2.54,2.9,1214.547,204907.42,75923.23,16956.89
2003-07,0.9875912882891431,2.13,2.3,2.63,2.95,1222.737,206193.07,76152.77,17362.13
2003-08,0.994504427307167,2.09,2.47,2.68,2.89,1178.574,210591.9,77032.98,17606.76
2003-09,1.006438480434853,2.52,2.58,2.81,3.04,1127.144,213567.13,79163.88,18306.36
2003-10,1.0154964267587665,2.78,2.57,3.0,3.35,1111.617,214469.36,80267.1,18250.67
2003-11,1.0256513910263543,2.37,2.49,3.05,3.59,1142.975,216351.73,80814.93,18439.56
2003-12,1.0318052993725124,2.04,2.28,3.05,3.78,1194.744,221222.82,84118.57,19745.9
2004-01,1.04315515766561,2.17,2.38,3.09,3.79,1281.334,225101.93,83805.9,22287.43
2004-02,1.0410688473502787,2.09,2.4,3.12,3.83,1351.61,227050.72,83556.43,19893.44
2004-03,1.0441920538923295,1.9,2.49,3.19,3.88,1384.954,231654.6,85815.57,19297.43
2004-04,1.049413014161791,2.05,2.66,3.43,4.17,1239.72,233627.86,85603.64,19878.4
2004-05,1.0483636011476292,1.99,2.84,3.56,4.3,1206.841,234842.4,86780.37,19048.43
2004-06,1.0410250559395957,2.24,2.96,3.64,4.32,1078.485,238427.49,88627.14,19017.58
2004-07,1.0389430058277165,2.18,3.07,3.87,4.65,1088.677,238126.97,87982.23,19409.1
2004-08,1.0462156068685105,2.27,3.26,4.06,4.81,1055.97,239729.19,89125.33,19517.94
2004-09,1.057723978544064,2.23,3.03,4.16,5.17,1109.324,243756.88,90439.05,20524.17
2004-10,1.057723978544064,2.16,3.0,4.06,5.02,1050.299,243740.32,90782.48,20078.25
2004-11,1.0545508066084317,2.09,3.01,4.19,5.24,1062.814,247135.58,92387.13,20209.25
2004-12,1.05560535741504,1.88,2.91,4.15,5.2,1000.0,253207.7,95969.7,21468.3
2005-01,1.0619389895595301,1.88,2.82,4.0,5.05,954.879,257708.47,97079.03,24015.41
2005-02,1.0810538913716017,2.1,2.84,3.89,4.82,1039.989,259357.29,92814.95,22667.97
2005-03,1.0713244063492573,1.72,2.75,3.68,4.53,942.203,264588.94,94743.19,21238.95
2005-04,1.0681104331302096,1.23,2.61,3.35,4.06,932.395,266992.66,94593.72,21666.56
2005-05,1.065974212263949,1.25,2.5,3.19,3.86,855.946,269240.49,95802.01,20811.59
2005-06,1.0574464185658374,1.28,2.22,2.96,3.65,878.686,275785.53,98601.25,20848.76
2005-07,1.0574464185658374,1.23,1.81,2.63,3.39,888.164,276966.28,97674.1,21171.2
2005-08,1.0595613114029692,1.2,1.59,2.49,3.32,927.916,281288.22,99377.7,21351.56
2005-09,1.06697824058279,1.2,1.42,2.42,3.34,917.392,287438.27,100964.0,22272.92
2005-10,1.071246153545121,1.26,1.42,2.22,2.98,876.282,287591.61,101751.98,21892.98
2005-11,1.0680324150844855,1.24,1.63,2.47,3.26,873.825,292350.39,104125.78,22409.39
2005-12,1.0723045447448234,1.52,1.84,2.55,3.23,923.451,298755.48,107278.8,24031.7
2006-01,1.086244503826506,1.56,1.64,2.35,3.02,1009.597,303571.65,107250.68,29310.37
2006-02,1.0916757263456385,1.35,1.69,2.31,2.93,1053.01,304516.27,104357.08,24482.02
2006-03,1.0807589690821822,1.46,1.7,2.44,2.91,1061.088,310490.65,106737.08,23472.03
2006-04,1.0818397280512642,1.64,1.7,2.57,2.98,1172.347,313702.34,106389.11,24155.73
2006-05,1.0796760485951615,1.43,1.73,2.48,3.01,1365.451,316709.81,109219.21,23465.31
2006-06,1.095871189324089,1.69,1.92,2.64,3.09,1393.963,322756.35,112342.36,23469.08
2006-07,1.1068299012173297,2.06,2.06,2.75,3.21,1294.328,324010.76,112653.04,23752.59
2006-08,1.1112572208221991,2.23,2.13,2.78,3.25,1338.694,327885.67,114845.67,24185.36
2006-09,1.11681350692631,2.13,2.02,2.68,3.13,1403.265,331865.36,116814.1,25687.38
2006-10,1.1179303204332363,2.08,2.02,2.56,2.96,1464.473,332747.17,118359.97,24964.17
2006-11,1.1212841113945358,2.77,2.07,2.55,2.99,1714.358,337504.15,121644.96,25527.26
2006-12,1.1369820889540594,1.9,2.1,2.57,3.02,2041.047,345577.91,126028.1,27072.62
2007-01,1.1449409635767376,1.61,2.06,2.6,3.03,2385.335,351498.77,128484.06,27949.13
2007-02,1.156390373212505,2.45,2.13,2.72,3.11,2544.571,358659.25,126258.08,30627.93
2007-03,1.1529212020928674,1.57,2.18,2.78,3.3,2781.784,364104.66,127881.31,27387.95
2007-04,1.1517682808907745,2.43,2.28,3.01,3.53,3558.709,367326.45,127678.34,27813.89
2007-05,1.1552235857334467,1.82,2.38,3.35,3.88,3927.952,369718.15,130275.8,26727.97
2007-06,1.1598444800763805,2.06,2.59,3.71,4.3,3764.078,377832.15,135847.41,26881.1
2007-07,1.1598444800763805,2.12,2.83,3.85,4.43,4460.564,383884.88,136237.43,27326.26
2007-08,1.1737626138372972,1.92,2.94,3.73,4.29,5296.813,387205.04,140993.31,27822.39
2007-09,1.177283901678809,2.86,3.09,3.91,4.4,5580.813,393098.91,142591.57,29030.58
2007-10,1.1808157533838453,2.77,3.26,4.01,4.44,5688.543,394204.17,144649.33,28317.78
2007-11,1.189081463657532,2.03,3.68,4.25,4.55,4737.408,399757.91,148009.82,28987.92
2007-12,1.2009722782941072,1.89,3.69,4.24,4.47,5338.275,403401.3,152560.08,30375.23
2008-01,1.2153839456336366,1.98,3.53,4.15,4.35,4620.401,417846.17,154870.16,36673.15
2008-02,1.2469839282201112,2.29,3.38,3.88,4.15,4674.55,421037.84,150177.88,32454.47
2008-03,1.2382550407225703,2.07,3.24,3.9,4.11,3790.53,423054.53,150867.47,30433.07
2008-04,1.2394932957632927,2.31,3.17,3.76,4.04,3959.119,429313.72,151694.91,30789.61
2008-05,1.2345353225802396,2.53,3.28,3.85,4.14,3611.33,436221.6,153344.75,30169.3
2008-06,1.2320662519350791,2.85,3.46,4.01,4.33,2791.819,443141.02,154820.15,30181.32
2008-07,1.233298318187014,2.49,3.53,4.2,4.46,2805.21,446362.17,154992.44,30687.19
2008-08,1.232065019868827,2.66,3.56,4.12,4.42,2391.64,448846.68,156889.92,30851.62
2008-09,1.232065019868827,2.72,3.34,3.7,3.92,2243.657,452898.71,155748.97,31724.88
2008-10,1.2283688248092206,2.5,2.8,3.01,3.19,1663.66,453133.32,157194.36,31317.84
2008-11,1.2185418742107468,2.14,2.18,2.59,3.01,1829.924,458644.66,157826.61,31607.34
2008-12,1.2161047904623252,1.14,1.3,1.98,2.85,1817.722,475166.6,166217.13,34218.96
2009-01,1.227049733576486,0.86,1.07,2.02,2.88,2032.682,496135.31,165214.97,41082.37
2009-02,1.227049733576486,0.83,1.09,2.46,3.19,2140.489,506708.07,166149.6,35141.64
2009-03,1.2233685843757567,0.81,0.93,2.45,3.15,2507.789,530626.71,176541.13,33746.42
2009-04,1.2209218472070051,0.82,0.99,2.44,3.17,2622.926,540481.21,178213.57,34257.27
2009-05,1.217259081665384,0.81,0.95,2.38,3.05,2759.712,548263.51,182025.58,33559.52
2009-06,1.2111727862570572,0.87,0.99,2.42,3.17,3166.474,568916.2,193138.15,33640.98
2009-07,1.2111727862570572,1.3,1.4,2.79,3.38,3734.622,573102.85,195889.26,34239.3
2009-08,1.2172286501883423,1.16,1.61,2.97,3.51,2830.271,576698.95,200394.83,34406.62
2009-09,1.2220975647890957,1.2,1.51,2.89,3.48,3004.805,585405.34,201708.14,36787.89
2009-10,1.2208754672243065,1.25,1.51,3.06,3.66,3280.372,586643.29,207545.74,35730.23
2009-11,1.2245380936259793,1.2,1.51,3.1,3.68,3511.669,594604.72,212493.2,36343.86
