,index,cpi_index,Int_Rate,Treasury_1,Treasury_5,Treasury_10,CSI_300,year,month,date,cpi_index_y,cpi_index_x,d_M2,d_M1,d_M0,benchmark_forecast,Int_Rate_forecast,Treasury_1_forecast,Treasury_5_forecast,Treasury_10_forecast,CSI_300_forecast,d_M2_forecast,d_M1_forecast,d_M0_forecast,machinelearning_out_of_sample,timevary_forecast
0,2002-01,1.0,2.32,2.13,2.77,3.36,1221.76,2002,1,2002-01-01,,,,,,,,,,,,,,,,
1,2002-02,1.011,2.32,2.18,2.68,3.19,1244.603,2002,2,2002-02-01,-12.257575,13.127928,0.008087158,-0.03141117,-0.0050554276,,,,,,,,,,,
2,2002-03,0.9978569999999999,2.11,1.96,2.49,3.01,1313.466,2002,3,2002-03-01,17.279358,-15.702288,0.019256592,0.013064384,-0.06818771,,,,,,,,,,,
3,2002-04,0.9948634289999999,2.08,1.98,2.32,2.68,1353.607,2002,4,2002-04-01,5.282731,-3.6054108,0.0030794144,0.016450882,0.020348549,,,,,,,,,,,
4,2002-05,0.9918788387129999,2.06,1.88,2.17,2.49,1238.577,2002,5,2002-05-01,4.8807206,-3.6054108,0.0087862015,0.012908936,-0.039938927,,,,,,,,,,,
5,2002-06,0.9829519291645828,2.02,1.8,2.16,2.52,1431.175,2002,6,2002-06-01,11.82102,-10.848893,0.021324158,0.03050518,-0.009605408,,,,,,,,,,,
6,2002-07,0.9829519291645828,2.02,1.78,2.26,2.72,1358.16,2002,7,2002-07-01,0.47087196,0.0,0.0073423386,0.005429268,0.017095566,,,,,,,,,,,
7,2002-08,0.9859007849520764,2.04,1.79,2.48,3.12,1361.298,2002,8,2002-08-01,-2.7257283,3.5946107,0.013948441,0.021520615,0.022849083,,,,,,,,,,,
8,2002-09,0.9957597928015972,2.09,1.85,2.54,3.17,1285.652,2002,9,2002-09-01,-10.873691,11.940397,0.021325111,0.029332161,0.032618523,,,,,,,,,,,
9,2002-10,0.9977513123872004,2.04,2.04,2.58,3.08,1225.338,2002,10,2002-10-01,-0.6347229,2.3976033,0.0017442703,0.0044879913,-0.013577461,,,,,,,,,,,
10,2002-11,0.9967535610748132,2.05,1.91,2.64,3.3,1164.618,2002,11,2002-11-01,4.0585637,-1.2006004,0.013680458,0.013214111,0.02050209,,,,,,,,,,,
11,2002-12,0.9997438217580374,2.17,1.94,2.64,3.26,1103.641,2002,12,2002-12-01,-0.43799108,3.5946107,0.028903008,0.04161167,0.055428505,,,,,,,,,,,
12,2003-01,1.0107410037973759,2.06,1.77,2.48,3.14,1207.597,2003,1,2003-01-01,-9.971309,13.127928,0.02949524,0.021270752,0.20667362,,,,,,,,,,,
13,2003-02,1.0198376728315521,2.05,1.5,2.39,3.19,1213.862,2003,2,2003-02-01,-8.691244,10.75169,-0.0022945404,-0.0372715,-0.16923428,,,,,,,,,,,
14,2003-03,1.013718646794563,1.99,1.73,2.43,3.08,1215.168,2003,3,2003-03-01,10.18349,-7.221687,0.022772789,0.023828506,-0.047416687,,,,,,,,,,,
15,2003-04,1.0116912095009738,1.96,1.92,2.49,3.02,1239.952,2003,4,2003-04-01,6.063161,-2.402403,0.0084114075,-0.0016469955,0.019373894,,,,,,,,,,,
16,2003-05,1.004609371034467,1.99,2.04,2.44,2.84,1300.865,2003,5,2003-05-01,12.692707,-8.429538,0.017061234,0.020216942,-0.018875122,,,,,,,,,,,
17,2003-06,0.9925540585820534,2.08,2.18,2.54,2.9,1214.547,2003,6,2003-06-01,19.255064,-14.487098,0.02671814,0.04231167,-0.009283066,,,,,,,,,,,
18,2003-07,0.9875912882891431,2.13,2.3,2.63,2.95,1222.737,2003,7,2003-07-01,11.08407,-6.0150504,0.00625515,0.0030183792,0.023617744,,,,,,,,,,,
19,2003-08,0.994504427307167,2.09,2.47,2.68,2.89,1178.574,2003,8,2003-08-01,-3.3017166,8.370736,0.021108627,0.011492729,0.013991356,,,,,,,,,,,
20,2003-09,1.006438480434853,2.52,2.58,2.81,3.04,1127.144,2003,9,2003-09-01,-9.344129,14.314285,0.014029503,0.027285576,0.038965225,,,,,,,,,,,
21,2003-10,1.0154964267587665,2.78,2.57,3.0,3.35,1111.617,2003,10,2003-10-01,-6.677507,10.75169,0.0042152405,0.013839722,-0.0030460358,,,,,,,,,,,
22,2003-11,1.0256513910263543,2.37,2.49,3.05,3.59,1142.975,2003,11,2003-11-01,-9.161698,11.940397,0.008738518,0.006802559,0.010295868,,,,,,,,,,,
23,2003-12,1.0318052993725124,2.04,2.28,3.05,3.78,1194.744,2003,12,2003-12-01,-4.8980446,7.178486,0.022265434,0.040065765,0.06844807,,,,,,,,,,,
24,2004-01,1.04315515766561,2.17,2.38,3.09,3.79,1281.334,2004,1,2004-01-01,-11.343273,13.127928,0.017382622,-0.0037240982,0.121076584,-10.461203,-10.698903,-9.681253,-9.1307,-9.999587,-11.791455,-10.294175,-10.65568,-10.077342,-10.039152145385742,-11.916647526435925
25,2004-02,1.0410688473502787,2.09,2.4,3.12,3.83,1351.61,2004,2,2004-02-01,6.17125,-2.402403,0.008620262,-0.002981186,-0.1136322,5.0733666,5.071329,6.2699194,6.856876,5.483673,3.7671046,4.8817177,4.725554,4.7111607,5.4702324867248535,3.837805479390605
26,2004-03,1.0441920538923295,1.9,2.49,3.19,3.88,1384.954,2004,3,2004-03-01,-1.0293894,3.5946107,0.02007389,0.026678085,-0.030418396,-0.8255437,-1.6402599,0.4162928,0.59370047,-0.37873852,-2.597406,-0.6974875,-0.73045766,-0.8635982,-1.3823280334472656,-0.8255437129086536
27,2004-04,1.049413014161791,2.05,2.66,3.43,4.17,1239.72,2004,4,2004-04-01,-4.2190337,5.9850497,0.008481979,-0.0024728775,0.029662132,-3.2191958,-3.5977144,-1.7064613,-1.6079804,-2.678424,-3.317741,-3.351366,-3.3042018,-3.212777,-4.198441028594971,-3.3177409019516784
28,2004-05,1.0483636011476292,1.99,2.84,3.56,4.3,1206.841,2004,5,2004-05-01,2.8664665,-1.2006004,0.0051851273,0.0136528015,-0.04264927,4.077682,3.763108,5.804611,5.285135,4.166924,4.5911984,3.8854842,4.058433,4.041777,3.770221471786499,4.077682127970975
